CUSTOMER_CODE|CUSTOMER_CODE_DESC|BILL_NUMBER|BILL_DATE|PMH_CATEGORY|PMH_CATEGORY_DESC|MONTH|USL_OUTLET_CODE|USL_OUTLET_CODE_DESC|CCF_REASON|CCF_DESC|SALESMAN_CODE|SALESMAN_CODE_DESC|SECONDARY_CHANNEL_CODE|SECONDARY_CHANNEL_CODE_DESC|CBU_CODE|CBU_CODE_DESC|BOM_HEADER_CBU_CODE|BOM_HEADER_CBU_CODE_DESC|SKU7_CODE|SKU7_CODE_DESC|BOM_HEADER_SKU7_CODE|BOM_HEADER_SKU7_CODE_DESC|SALES_DELIVERY_DATE|TOTAL_SALES_VALUE_LKR|TOTAL_SALES_VALUE_GSV|TOTAL_SALES_QTY_CASES|TOTAL_SALES_QTY_KGS|CHANNEL_CODE|CHANNEL_CODE_DESC|BASEPACK_CODE
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1118|Deodorants & Fragrances|20246|||||||||94010074|Pears Blue Cologne 100ML|||||||2024-06-30|0|225712.9763|29|63|||42902
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1118|Deodorants & Fragrances|20246|||||||||94010075|Pears Pink Cologne 100ML|||||||2024-06-30|0|527482.5|55|121|||42905
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1118|Deodorants & Fragrances|20246|||||||||94010077|Pears Green Cologne 100ML|||||||2024-06-30|0|8049.978813|1|3|||42904
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1118|Deodorants & Fragrances|20246|||||||||94010076|Pears Red Cologne 100ML|||||||2024-06-30|0|228561.8843|33|73|||42903
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94010014|Pears Aloe Vera & Neem Cream 100ML|||||||2024-06-30|0|28445.1|2|10|||43064
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1119|Home & Hygiene|20246|||||||||94009073|Vim Surface Spray 475ml|||||||2024-06-30|0|0.0|0|0|||43115
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1119|Home & Hygiene|20246|||||||||94009070|Vim Floor Cleaner 200ml (Liquid)|||||||2024-06-30|0|0.0|0|0|||43113
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1119|Home & Hygiene|20246|||||||||94009051|Vim Floor Cleaner 500ml (Liquid)|||||||2024-06-30|0|0.0|0|0|||43091
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2341|Fabric Cleaning|20246|||||||||94008598|SLT CareNat Pow1kg|||||||2024-06-30|0|7751.25|1|15|||42994
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2341|Fabric Cleaning|20246|||||||||94011963|SLTNatMaticLiqx600ml|||||||2024-06-30|0|257580.0|27|338|||42995
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2341|Fabric Cleaning|20246|||||||||94011961|SLTNatMaticLiqx1L|||||||2024-06-30|0|1158700.575|146|2283|||42996
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2341|Fabric Cleaning|20246|||||||||94010284|Surf Matic Liquid Front Load 1.0L|||||||2024-06-30|0|1280244.38|107|1288|||42944
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1117|Oral Care|20246|||||||||94012467|Signal Charcoal White TPx120g|||||||2024-06-30|0|641831.8823|60|346|||43105
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2341|Fabric Cleaning|20246|||||||||94008833|SURFEXCEL2KG+VIM 500ML FREE/MT|||||||2024-06-30|0|0.0|0|0|||42349
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2341|Fabric Cleaning|20246|||||||||94009463|Surf hygienic 1Kg+LB pouch 180ml /MT|||||||2024-06-30|0|0.0|0|0|||43107
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1117|Oral Care|20246|||||||||94006829|Ayush Anti Cavity 70g|||||||2024-06-30|0|377370.6|30|151|||42626
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1117|Oral Care|20246|||||||||94011635|Ayush Anti Cavity Toothpaste x 110g|||||||2024-06-30|0|2428391.895|223|1179|||42627
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1117|Oral Care|20246|||||||||94006828|Ayush Whitening 120g|||||||2024-06-30|0|88215.64311|11|61|||42629
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1116|Hair Care|20246|||||||||94009636|TRES SulphFre Pro Prtct SHM*185ml|||||||2024-06-30|0|599381.2542|12|84|||43182
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1116|Hair Care|20246|||||||||94009637|TR Sulp Free ProProtct Cond190ml|||||||2024-06-30|0|28111.2|1|3|||43183
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1116|Hair Care|20246|||||||||94006839|Ayush Anti Dandruff Neem 175ml|||||||2024-06-30|0|152959.3936|14|60|||42630
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1116|Hair Care|20246|||||||||94006840|Ayush Anti Hairfall 175ml|||||||2024-06-30|0|244273.29|15|64|||42632
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94006797|Ayush Turmeric 25g|||||||2024-06-30|0|457784.055|25|30|||42616
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94006856|Ayush Turmeric FC 50g|||||||2024-06-30|0|118632.2911|11|13|||42617
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94010291|Ayush Naturl Glw Saffron Face Cream 50g|||||||2024-06-30|0|0.0|0|0|||42619
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94009741|Ponds Super Light Gel 25g|||||||2024-06-30|0|337898.85|6|23|||43351
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2026|Skin Cleansing|20246|||||||||94011110|Lifebuoy Venivel and Sandalwood 100g|||||||2024-06-30|0|186316.2|10|146|||43072
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2026|Skin Cleansing|20246|||||||||94010541|Lifebuoy Aloe 100g|||||||2024-06-30|0|198.1275498|0|0|||43073
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1116|Hair Care|20246|||||||||94010516|Dove Dandruff Care Conditioner 180ml|||||||2024-06-30|0|122133.7958|7|29|||43342
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1116|Hair Care|20246|||||||||94010515|Dove Dandruff Care Shampoo 180ml|||||||2024-06-30|0|267763.95|13|57|||43341
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2026|Skin Cleansing|20246|||||||||94009931|PB Venivel & Turmeric Multipack 380g|||||||2024-06-30|0|0.0|0|0|||43363
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2026|Skin Cleansing|20246|||||||||94009933|PB Aloe Vera & Neem Multipack 380g|||||||2024-06-30|0|472.9812852|0|1|||43364
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1118|Deodorants & Fragrances|20246|||||||||94011461|Axe Sig Gold IcedVetiver&FshLavender80ml|||||||2024-06-30|0|290303.1464|22|17|||43337
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1118|Deodorants & Fragrances|20246|||||||||94011460|Axe SigGoldItalianBergamot&AmberWood80ml|||||||2024-06-30|0|560578.0442|35|28|||43339
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1116|Hair Care|20246|||||||||94008608|LB Health Shampo175ml|||||||2024-06-30|0|2166980.79|219|946|||42146
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1116|Hair Care|20246|||||||||94010506|LB AD Shampoo 175ml|||||||2024-06-30|0|2517466.08|254|1098|||42563
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1116|Hair Care|20246|||||||||94006491|LB Herbal Shampo 175ml|||||||2024-06-30|0|0.0|0|0|||42561
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1119|Home & Hygiene|20246|||||||||94009484|Domex Ocean Fresh TCL 500ml|||||||2024-06-30|0|73687.37874|11|139|||43214
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH1119|Home & Hygiene|20246|||||||||94009499|Domex Lime Fresh TCL 500ml|||||||2024-06-30|0|0.0|0|0|||43213
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94010187|Lakme 9to5 CC cream Honey x 30g|||||||2024-06-30|0|0.0|0|0|||43440
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94010186|Lakme 9to5 CC cream Beige x 30g|||||||2024-06-30|0|0.0|0|0|||43439
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94010188|Lakme 9to5 CC cream Bronze x 30g|||||||2024-06-30|0|0.0|0|0|||43441
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94010189|Lakme 9to5 CC cream ALmond x 30g|||||||2024-06-30|0|0.0|0|0|||43442
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94012103|LAPR Serum x 30ML|||||||2024-06-30|0|46507.5|1|0|||43448
800068|0000800068 : JAYKAY MARKETING SERVICES PVT LTD||2024-06-30|L3-CH2027|Skin Care|20246|||||||||94010270|Lakme Absolute Hydra Pro Gel Crm x 50g|||||||2024-06-30|0|51595.5|2|1|||43434
